Chromosome 29 =>   -2.90628e+09	-1.7922e+10	-1.8476e+10	-3.76316e+09	-3.56369e+09	
Chromosome 30 =>   -7.80933e+09	-1.50171e+10	-1.1178e+10	-1.73372e+10	-1.84488e+10	
Chromosome 31 =>   -4.30934e+09	-3.62352e+09	-6.93531e+09	-6.72148e+09	-1.31601e+10	
Chromosome 32 =>   -3.40795e+09	-7.33402e+09	-3.0883e+09	-2.72327e+09	-1.74981e+10	
Chromosome 33 =>   -1.94381e+10	-1.91702e+10	-2.7364e+09	-4.14137e+09	-4.95092e+09	
Chromosome 34 =>   -2.74867e+09	-8.58647e+09	-1.68e+10	-1.75143e+10	-2.73589e+09	
Chromosome 35 =>   -1.98721e+10	-3.00688e+09	-3.26316e+09	-1.41163e+10	-1.86646e+10	

 END 

Chromosome 1  =>   -4.02523e-03	-8.96635e-03	-1.0513e-03	-1.15316e-03	-6.61277e-03	
Chromosome 2  =>   -1.05128e-03	-4.30011e-03	-1.20738e-03	-3.12092e-03	-6.3819e-03	
Chromosome 3  =>   -2.81532e-03	-1.19947e-03	-3.21649e-03	-1.39884e-03	-1.80976e-03	
Chromosome 4  =>   -1.40623e-03	-3.89241e-03	-1.64256e-03	-6.97462e-03	-4.29793e-03
Chromosome 5  =>   -3.58394e-03	-4.95393e-03	-4.76491e-03	-2.9677e-03	-3.74576e-03	
Chromosome 6  =>   -1.24839e-03	-1.94747e-03	-1.93056e-03	-6.67949e-03	-1.1428e-03	
Chromosome 7  =>   -1.01953e-03	-2.80608e-03	-1.19355e-03	-5.4958e-03	-1.92442e-03	
Chromosome 8  =>   -4.81125e-03	-3.09221e-03	-4.1286e-03	-1.32206e-03	-1.52608e-03	
Chromosome 9  =>   -3.99118e-03	-8.27711e-03	-1.92865e-03	-8.2358e-03	-3.50922e-03	
Chromosome 10 =>   -1.41568e-03	-2.70478e-03	-8.33422e-03	-7.12038e-03	-1.18374e-03	
Chromosome 11 =>   -2.70507e-03	-1.57851e-03	-1.5057e-03	-3.31975e-03	-3.13214e-03	
Chromosome 12  =>  -3.6578e-03	-1.06551e-03	-9.50854e-03	-7.38469e-03	-2.81731e-03	
Chromosome 13 =>   -1.33621e-03	-1.40556e-03	-3.10102e-03	-1.66322e-03	-8.2772e-03	
Chromosome 14 =>   -5.26783e-03	-2.70528e-03	-1.53193e-03	-4.55156e-03	-2.7851e-03	
Chromosome 15 =>   -3.70627e-03	-2.84885e-03	-9.96673e-03	-1.97942e-03	-2.71778e-03	
Chromosome 16 =>   -8.25656e-03	-4.68764e-03	-1.9557e-03	-3.25361e-03	-8.52801e-03	
Chromosome 17 =>   -1.85119e-03	-7.49229e-03	-1.53975e-03	-6.43395e-03	-5.86436e-03	
Chromosome 18 =>   -1.50568e-03	-1.9415e-03	-3.69274e-03	-1.97783e-03	-5.09406e-03	
Chromosome 19 =>   -4.23724e-03	-1.25376e-03	-5.5257e-03	-3.30844e-03	-1.15834e-03	
Chromosome 20 =>   -6.72544e-03	-7.94228e-03	-1.09751e-03	-1.97564e-03	-3.51363e-03	
Chromosome 21 =>   -4.76494e-03	-8.18952e-03	-2.70909e-03	-2.73139e-03	-9.38228e-03	
Chromosome 22 =>   -1.99685e-03	-1.19946e-03	-5.74033e-03	-2.81981e-03	-5.2771e-03	
Chromosome 23 =>   -2.78764e-03	-8.73156e-03	-3.67761e-03	-6.22554e-03	-1.26707e-03	
Chromosome 24 =>   -1.80779e-03	-4.71141e-03	-3.32224e-03	-2.74186e-03	-4.13291e-03	
Chromosome 25 =>   -3.8774e-03	-6.93944e-03	-1.97855e-03	-3.24306e-03	-5.17216e-03	
Chromosome 26 =>   -9.42796e-03	-1.04636e-03	-8.41229e-03	-5.43339e-03	-1.57406e-03	
Chromosome 27 =>   -2.90628e-03	-1.7922e-03	-1.8476e-03	-3.76316e-03	-3.56369e-03	
Chromosome 28 =>   -1.99096e-03	-4.06403e-03	-1.69945e-03	-1.20734e-03	-2.81531e-03	
Chromosome 29 =>   -7.80933e-03	-1.50171e-03	-1.1178e-03	-1.73372e-03	-1.84488e-03	
Chromosome 30 =>   -3.40795e-03	-7.33402e-03	-3.0883e-03	-2.72327e-03	-1.74981e-03	
Chromosome 31 =>   -8.98288e-03	-3.36491e-03	-3.47406e-03	-2.71539e-03	-1.9978e-03	
Chromosome 32 =>   -2.74867e-03	-8.58647e-03	-1.68e-03	-1.75143e-03	-2.73589e-03	
Chromosome 33 =>   -1.98721e-03	-3.00688e-03	-3.26316e-03	-1.41163e-03	-1.86646e-03	
Chromosome 34 =>   -4.30934e-03	-3.62352e-03	-6.93531e-03	-6.72148e-03	-1.31601e-03	
Chromosome 35 =>   -1.94381e-03	-1.91702e-03	-2.7364e-03	-4.14137e-03	-4.95092e-03	

 END 

